nome;endereco;telefone;especialidade;site;email
A Porteira;R Doutor José Maria 804 lj A – Encruzilhada – Recife;81 3426 2220;;;
Acauã;Pátio de São Pedro, 48 - São José – Recife;81 3424 5071;Carne de Sol;;
Aconchego do Matuto;Av. lins Petit, 273 - Boa Vista – Recife;81 3321 9358;Regional;;
Adega;Clube Português - Av. Conselheiro Rosa e Silva, 172 – Graças – Recife;81 3224 6258;Portuguesa;www.clubeportuguesdorecife.com.br/2009/ctudo-gastronomia.php#adega;
AlfredãoPituzada;R. Dom José Lopes, 1200 - Boa Viagem – Recife;81 3325 1094;Pituzada;;
AlfredãoPituzada;Av. Recife, 451 – Imbiribeira – Recife;81 3339 3125;Pituzada;;
Alphaiate;Rua Artur Muniz, 82, loja 18 - Boa Viagem – Recife;81 3419 7588;Churrascos e Grelhados;;
Amadeu;Rua Professor José Brandão, 409 – Boa Viagem – Recife;81 3071 3637;Internacional;;
Anjo solto;Avenida Herculano Bandeira - Galeria Joana d'Arc 513 Pina;(81) 33250862;;www.anjosolto.com.br;
Anfitrião;Rua do Bom Jesus, 183 - Bairro de Recife – Recife;81 3224 2617;Internacional;;
Applebee’s;Rua Padre Carapuceiro, 777- Shopping Boa Viagem - loja BV 01-03/04 A - Boa Viagem – Recife;81 3326 6579;Americana;www.applebees.com.br/applebrasil_re/;
Armazém Guimarães;Rua Baltazar Ferreira, 100 - Boa Viagem – Recife;81 3325 4011;;www.armazemguimaraes.com.br/;
Arriégua;Rua General Polidoro, 955 – Cidade Universitária – Recife;81 3091 1063;Carne de Sol;;
Artes y Tacos;Rua Rio Azul, 363 – Setubal – Recife;81 3341 7306;Latina;a-tacos.blogspot.com;artesytacos@gmail.com
Audrey;Rua Tenente João Cícero, 202 – Boa Viagem – Recife;81 3326 4504;Contemporânea;www.audreydiningclub.com.br;contato@audreydiningclub.com.br
Bangüê;Pátio de São Pedro, 20 – São José – Recife;81 3224 3649;Carne de Sol;;
Bar 10;Av. Caxangá, 5326 – Iputinga – Recife;81 3273 1010;Cozinha Contemporânea;;bar10@terra.com.br
Bar do Geraldo;Rua da Piedade, 107 - Santo Amaro – Recife;81 3231 4177;Regional;;
BarbaricoBongiovanni;Av. Domingos Ferreira, 2655 – Boa Viagem – Recife;81 3325 4268;Italiana;www.barbarico.com.br;
Bargaço;Avenida Antônio de Góes, 62 – Pina – Recife;81 3465 1847;Frutos do Mar;;
Barroso;R. Aurora, 1225 - Boa Vista – Recife;81 3221-8571;Regional;;
Basílico (Recife Palace Lucsim Hotel);Av. Boa Viagem, 4070 – Boa Viagem – Recife;81 4009 2514;Italiana;;
Biruta Comedorias do Mar;Rua Bem Ti Vi 15 Pina;(81)3326.5151;Frutos do Mar;;
Bode do Nô;Av Sãp Miguel 1401 Afogados;(81) 3428.8889;Regional;;
Boi Preto Grill;Avenida Boa Viagem, 97;(81) 34666334;;www.boipretogril.com.br;cesar@grupoboipreto.com.br
Buongustaio (Plaza Casa Forte);Rua Dr. João SantosFilho 255 loja 157 Casa Forte;(81) 3465.7999;Italiana;;
Buongustaio (Shopping Tacaruna);Av Agamenon Magalhães 278 loja 272 D Shopping Tacaruna Santo Amaro;(81) 3421.6900;Italiana;;
Buraquinho;Pátio de São Pedro 28 São José;(81) 3224.3765;Galinha de Cabidela;;
Boi & Brasa;Av. Boa Viagem, 97- Pina – Recife;81 3466 6334;Churrasco e Grelhado;www.boiebrasa.com.br/recife;
Café Porteño;Rua da Hora, 712 – Espinheiro – Recife;81 3077 3006;Cozinha Contemporânea;;
Café Supremo;Rua Dona Benvinda 189 Boa Vista;(81) 32314208;;;
Camarada Camarão;Rua Baltazar Pereira 130 Boa Viagem;(81) 3325.1786;Frutos do Mar;;
Camarão do Zito;Rua Badejo 444 Brasília Teimosa;(81) 3325.3636/3465.6292;Frutos do Mar;;
Casa D’Itália – Onda Mar;Rua Ernesto de Paula Santos 284 Boa Viagem;(81) 2128.4730/ 2128.4848;Italiana;;Ristocasaditalia@aol.com.br
Casa Hilda;Av. Oliveira e Lima 784 Boa Vista;(81) 9906.1784/ 9124.7981;Macrobiótico;;
