ID,Nome,Descricao,Bairro,Endereco,latitude,longitude
0,Praça Dr José Vilela,Praça,Parnamirim,Avenida Dezessete De Agosto/ Rua Dr Jose Vilela/ Rua Jose De Godoy Vasconcelos,-8.034090657,-34.91157119
1,Praça Dr Lula Cabral de Melo,Praça,Parnamirim,Avenida Dezessete De Agosto/ Avenida Parnamirim/ Rua Padre Roma,-8.033198405,-34.91029444
2,Praça Jornalista Francisco Pessoa de Queiroz,Praça,Santana,Rua Nestor Silva/ Rua Leonardo Bezerra Cavalcante,-8.037484858,-34.91386712
3,Praça Rádio Jornal do Comércio,Praça,Parnamirim,Avenida Dezesste De Agosto/ Rua Leonardo Bezerra Cavalcante,-8.036970992,-34.913944
4,Praça Rádio Jornal do Comércio,Praça,Parnamirim,Avenida Dezesste De Agosto/ Rua Leonardo Bezerra Cavalcante,-8.03708098,-34.91429516
5,Praça Oswaldo Cruz,Praça,Soledade,Rua Joao Fernandes Vieira/ Rua Osvaldo Cruz,-8.055074228,-34.89156634
6,Praça Flor de Santana,Praça,Poco,Avenida Dezessete De Agosto/Rua Dona Olegarinha Da Cunha/ Rua De Santana,-8.038112654,-34.91806848
7,Praça da Vila Teimosinho,Praça,Pina,Rua Das Saudades/Rua Do Girassol,-8.085811115,-34.88401847
8,Praça da Restauração,Praça,Sao Jose,Rua Padre Floriano/ Rua Do Jardim,-8.069986929,-34.8802037
9,Praca do Monteiro,Praça,Monteiro,Avenida Dezessete De Agosto,-8.027913492,-34.92798922
10,Praça Sérgio Loreto,Praça,Sao Jose,Rua Imperial,-8.072488891,-34.8853334
11,Praça das Cinco Pontas,Praça,Sao Jose,Rua Vidal De Negreiros/Rua Imperial,-8.071880743,-34.88214292
12,Praça das Cinco Pontas,Praça,Sao Jose,Rua Vidal De Negreiros,-8.071573012,-34.88188765
13,Praça Dezessete,Praça,Santo Antonio,Rua Imperador Pedro Ii,-8.065308057,-34.87691259
14,Praça das Cinco Pontas,Praça,Sao Jose,Rua Vidal De Negreiros,-8.071007482,-34.88144625
15,Praça Dom Vital,Praça,Sao Jose,Rua Das Calcadas,-8.068186779,-34.87835072
16,Praça Joaquim Nabuco,Praça,Santo Antonio,Rua Frei Caneca/ Cais Da Detencao,-8.064545759,-34.88125311
17,Praça Dezessete,Praça,Santo Antonio,Rua Imperador Pedro Ii / Avenida Martins De Barros,-8.065251334,-34.87653876
18,Praça da Comunidade Luso Brasileira,Praça,Recife,Cais Do Apolo/Avenida Militar,-8.053736449,-34.87103187
19,Praça da Independência,Praça,Santo Antonio,Avenida Dantas Barreto/Rua Primeiro De Março,-8.064166299,-34.87815957
20,Praça Chora menino,Praça,Paissandu,Rua Paissandu/ Avenida Lins Petit,-8.060289347,-34.89488865
21,Praça Rio Branco,Praça,Recife,Avenida Alfredo Lisboa,-8.063157342,-34.87109061
22,Travessa Tiradentes,Praça,Recife,Cais Do Apolo/Rua Bione,-8.058698428,-34.87207801
23,Praca General Carlos Pinto,Praça,Santo Amaro,Rua Arlindo Melo/ Avenida Cruz Cabuga/ Rua Dos Casados,-8.040097305,-34.87190978
24,Praça do Rosário,Praça,Varzea,Rua Francisco Lacerda,-8.050490532,-34.95836889
25,Praça Maciel Pinheiro,Praça,Boa Vista,Rua Do Hospicio / Rua Do Aragao,-8.062376317,-34.88573807
26,Praça Parque Amorim,Praça,Boa Vista,Rua Joao Fernandes Vieira/Avenida Agamenon Magalhaes,-8.052047649,-34.89498176
27,Praça da Avenida General San Martin,Praça,San Martin,Avenida General San Martin,-8.071011847,-34.92879124
28,Praça Profeta Joseph Smith,Praça,Pina,Avenida Engenheiro Domingos Ferreira,-8.096888965,-34.88604569
29,Praça Miguel de Cervantes,Praça,Ilha Do Leite,Rua Francisco Alves,-8.067558726,-34.89395077
30,Praça Miguel de Cervantes,Praça,Ilha Do Leite,Rua Estado De Israel/Rua Capitao Jose  Da Luz,-8.066101465,-34.89327839
31,Praça Miguel de Cervantes,Praça,Ilha Do Leite,Rua Francisco Alves/Rua Jose De Alencar /Ruaantonio Gomes De Freitas,-8.066768098,-34.89357782
32,Praça Dom José Pereira Alves,Praça,Cordeiro,Rua Manoel Elias/Rua Des Manoel De Sa Pereira/Rua Dom Jose Pereira Alves,-8.049211071,-34.92536237
33,Praça Dom Diogo Camarao,Praça,Cordeiro,Rua Capitao Francisco Barreiras/Rua Capitao Manuel De Araujo Miranda,-8.060342319,-34.92881848
34,Praça Pantanal,Praca,Areias,Rua Capitao Gregorio De Albuquerque/Praca Pantanal/Rua Capitao Domingos Da Costa,-8.094827242,-34.93383621
35,Praça da Bandeira,Praça,Madalena,Avenida Sport Clube Do Recife/ Rua Benfica/ Rua Chico Science,-8.061391901,-34.90159021
36,Praça Salgueiro,Praça,Iputinga,Rua Comendador Alvares De Carvalho/Rua Ribeirao/ Prc Salgueiro,-8.042580862,-34.93823736
37,Praça da Esperança,Praça,Zumbi,Rua Joao Da Mata/Caratinga/Rosa Candida,-8.054287351,-34.91619183
38,Praça do Internacional,Praça,Madalena,Rua Benfica /  Severino Pinheiro / Heitor Maia Filho,-8.058381,-34.9035688
39,Praça Camilo Pereira Carneiro,Praça,Curado,Avenida Getulio Vargas,-8.068604891,-34.94432198
40,Praça da Conceição,Praça,Morro Da Conceicao,Rua Morro Da Conceição,-8.019349645,-34.91530281
41,Praça da  Boa Viagem,Praça,Boa Viagem,Rua Setubal / Rua Dr Nylo Dornellas Camara / Avenida Boa Viagem / Rua Barao De Souza Leao,-8.132007092,-34.90073518
42,Praça Fernando Galvão,Praça,Areias,Rua Dr Vilas Boas/Rua Olimpio Costa/Praca Fernando Galvao,-8.095441959,-34.93894494
43,Praça do Jardim São Paulo,Praça,Jardim Sao Paulo,Rua Senador Alberto Pasqualini/Rua N S  De Fatima/Rua Damasco,-8.081623961,-34.93836152
44,Praça Beira Rio,Praça,Torre,Avenida Beira Rio,-8.046253452,-34.90402245
45,Praça Beira Rio,Praça,Madalena,Avenida Beira Rio,-8.049835422,-34.90450432
46,Praca do Monteiro,Praça,Monteiro,Avenida Dezessete De Agosto,-8.02785261,-34.92845605
47,Praça Professor Barreto Campello,Praça,Torre,Rua Conselheiro Theodoro/ Rua Marques De Marica,-8.047997177,-34.91484274
48,Praça deputado Fabio Correa,Praça,Alto Jose Do Pinho,Rua Severino Bernadino Pessoa/ Rua Irapiranga,-8.022359393,-34.90632204
49,Praça Professor Barreto Campello,Praça,Torre,Rua Jose De Holanda/ Rua Barreto Campelo/Rua Zilda S De Santana,-8.04702363,-34.91399529
50,Praça João Pessoa de Queiroz,Praça,Torroes,Rua Domingos De Abreu Vasconcelos/Aniceto Ribeiro Varejao/Des Capristano De Moraes E Silva,-8.067352423,-34.9329581
51,Praça do Paraíso,Praça,Afogados,Rua Cinco De Novembro,-8.08105852,-34.90718956
52,Praça Vila do Moinho Recife,Praça,Encruzilhada,Rua Domingos Bastos,-8.03731776,-34.88891284
53,Praça São Braz,Praça,Areias,Rua Capitao Manuel De Aguiar/R Capitao Braz De Barros/R Capitao Francisco Coutinho/Praça Sao Braz,-8.094377412,-34.93161111
54,Praça Alfredo Pinto,Praça,Areias,Rua Caruaru/ Rua Palmares/Rua Goiana/Rua Argemiro Galvao,-8.094351239,-34.93686828
55,Praça do Sena,Praça,Areias,Rua Capitao Joao Pontes/Rua Capitao Antonio Franca/Rua Capitao Domingos Da Costa,-8.095864063,-34.9336817
56,Praça Jornalista Anibal Fernandes,Praça,Areias,Rua Capitao Estevao Fernandes/Rua Gal Francisco Fiqueiroa/R Capitao Jacinto Da Cruz,-8.093486844,-34.93011487
57,Praça Professor Abdgar Soriano,Praça,Areias,Rua Frei Manuel Calado/Rua General Francisco Figueiroa,-8.09243358,-34.93017666
58,Praça Capiba,Praça,Gracas,Rua Engenheiro Edgar D'Amorim / Rua Do Futuro,-8.043766763,-34.89813483
59,Praça Maria da Conceição,Praça,Barro,Rua Otacilio Pessoa/Rua Padre Diogo Rodrigues/Prc Maria Da Conceicao,-8.089525934,-34.94038585
60,Praça de Campo Grande,Praça,Campo Grande,Estrada De Belem/ Rua Goncalves Dias/ Rua Catulo Da Paixao Cearense,-8.032299001,-34.87744157
61,Praça Augusto Rodrigues,Praça,Torreao,Rua Augusto Rodrigues/Rua Padre Miguelinho/R Dom Joao Da Costa,-8.039388541,-34.88519858
62,Praça da República,Praça,Santo Antonio,Rua Praca Da Republica,-8.060768613,-34.87844425
63,Praça da República,Praça,Santo Antonio,Rua Da Praca Da Republica,-8.061000454,-34.8768515
64,Praça da República,Praça,Santo Antonio,Rua Praca Da Republica,-8.06089663,-34.87757372
65,Praça Gregório Bezerra,Praça,Torre,Rua Arumanduba/Rua Souza Bandeira,-8.044551422,-34.91490004
66,Praça do Campo Santo,Praça,Santo Amaro,Rua Do Pombal/ Avenida  Da Saudade/ Rua Treze De Maio,-8.05036453,-34.88283192
67,Praça Abelardo Rijo,Praça,Cabanga,Rua Capitao Temudo/ Avenida Engenheiro Jose Estelita,-8.078168684,-34.89174203
68,Praça Governador Paulo Guerra,Praça,Cabanga,Avenida Saturnino De Brito/  Rua Capitao Temudo,-8.080074629,-34.89232223
69,Praça da Cavalaria,Praça,San Martin,Rua Delmiro Gouveia/Avenida General San Martin/Rua Apulcro De Assuncao,-8.065380736,-34.92749122
70,Praça Dr Adolfo Cirne,Praça,Boa Vista,Rua Princesa Izabel/ Rua Do Hospicio/Rua Do Riachuelo,-8.058708287,-34.88265545
71,Praça da Cavalaria,Praça,San Martin,Avenida Consul Vilares Fragoso/Rua Comendador Franco Ferreira/Avenida Gal San Martin,-8.065579426,-34.92710117
72,Praça Arari Ferreira Fonseca,Praça,Iputinga,Rua Romulo Da Fonseca Gomes/ Rua Monsenhor Ferreira Lima,-8.029962639,-34.93615205
73,Praça São Benedito Pereira dos Santos,Praça,Varzea,Rua Tapirema/ Prc Sao Benedito Pereira Dos Santos/R Serra Nova/,-8.037886757,-34.98178557
74,Praça Jockey Clube,Praça,Varzea,Rua Agricolandia /Avenida Professor Moraes Rego,-8.043240462,-34.94389603
75,Praça Jockey Clube,Praça,Prado,Rua Carlos Gomes E Jockey Clube,-8.061039542,-34.91281501
76,Praça Filonila Ferreira,Praça,Varzea,Rua Monsenhor Joao Barbalho/Praca Filonila Ferreira,-8.041457663,-34.95658737
77,Praça da Paz,Praça,Afogados,Rua Motocolombo/Rua Da Paz,-8.080605731,-34.90612789
78,Praça Bernardo Vieira de Melo,Praça,Barro,Rua Joao Perdigao/Praca Bernardo Vieira De Melo/R Theodorico Selva/Rua Padre Nobrega,-8.090245819,-34.93875574
79,Praça do Sítio Benvenuto,Praça,San Martin,Rua Jupiacara/Rua Caturite/ Rua Santa Rosa,-8.075344456,-34.92555684
80,Praça do Sítio Benvenuto,Praça,San Martin,Rua Jupiacara/ Rua Imbituba/ Rua Caturite,-8.075233289,-34.92502221
81,Praça do Sítio Benvenuto,Praça,San Martin,Rua Jupiacara/ Rua Santo Angelo/ Rua Imbituba,-8.075122195,-34.9244936
82,Praça Abelardo Baltar,Praça,Pina,Rua Comendador Moraes,-8.087228836,-34.88271544
83,Praça Abelardo Baltar,Praça,Pina,Rua Praca Abelardo Baltar,-8.087433482,-34.88258653
84,Praça do Jordão,Praça,Jordao,Rua Jose Martorano / Rua Dr Alvaro Ferreira / Rua Lima Campos,-8.130504443,-34.938465
85,Praça Luz da Fraternidade,Praça,Cohab,Rua Engenho Araquara / Rua Engenho Timbi / Avenida Rio Sao Francisco,-8.115080632,-34.95025587
86,Praça Sebastião Pontes,Praca,Areias,Praca Sebastiao Pontes/Rua Capitao Amaro Cerqueira/Rua Capitao Domingos Costa,-8.09759545,-34.93388892
87,Praça Presidente Kennedy,Praça,Jordao,Rua Dona Carentina / Rua Miravania,-8.134257824,-34.94174368
88,Praça São José dos Manguinhos,Praça,Gracas,Rua Confederacao Do Equador/Avenida Rui Barbosa,-8.048095165,-34.89890896
89,Praça Elvira Andrade de Souza,Praça,Gracas,Rua Paulino Gomes De Souza/Rua Alberto Paiva,-8.043753544,-34.9012548
90,Praça Marcelino Champagnat,Praça,Gracas,Rua Paulino Gomes De Souza,-8.041620727,-34.90053842
91,Praça Professor Fleming,Praça,Jaqueira,Rua Muniz Tavares,-8.035270957,-34.90591214
92,Parque da Jaqueira,Parque,Jaqueira,Rua Do Futuro/Rua Deputado Pedro Pires Ferreira/ Avenida Rui Barbosa,-8.036906181,-34.90482213
93,Praça de Casa Forte,Praça,Casa Forte,Avenida Dezessete De Agosto,-8.035374529,-34.91975305
94,Praça Alice de Albuquerque,Praça,Cajueiro,Rua Couto Soares/R Adolfo Simoes Barbosa,-8.012737276,-34.88380124
95,Praça de Casa Forte,Praça,Casa Forte,Rua Casa Forte,-8.033866468,-34.91895114
96,Praça Farias Neves,Praça,Dois Irmaos,Rua Dois Irmaos / Avenida Dom Manoel De Medeiros,-8.015644143,-34.94419349
97,Praça do Trabalho,Praça,Casa Amarela,Avenida Norte Miguel Arraes De Alencar/ Rua Fernando De Souza Caete,-8.023225392,-34.91452741
98,Praça Batista da Silva,Praca,Torre,Rua Prof Trajano De Mendonca/ R Jose Bonifacio,-8.042476011,-34.90834573
99,Praça Ponte D`Uchoa,Praça,Jaqueira,Avenida Rui Barbosa/ Rua Madre Loyola/ Rua Antonio Celso Uchoa Cavalcanti,-8.041396064,-34.9033467
100,Praça Barão de Caiara,Praca,Santana,Rua Afonso De Albuquerque De Melo/Rua Leonardo Bezerra Cavalcante,-8.038067213,-34.91098217
101,Praça Ascenço Ferreira,Praça,Recife,Avenida Rio Branco/Rua Madre Deus,-8.06255675,-34.8736634
102,Praça da Convenção,Praça,Beberibe,Avenida Beberibe,-8.003341827,-34.89751891
103,Praça Vinte de Julho,Praça,Campo Grande,Marques De Baipendi,-8.025503039,-34.87881908
104,Praça Vinte de Julho,Praça,Campo Grande,Rua Marques De Baipendi/Rua Cirilino Afonso De Melo,-8.025687475,-34.87890863
105,Praça Vinte de Julho,Praça,Campo Grande,Rua Carlindo Afonso De Melo/Rua Farias Neves/Rua Tenente Guimaraes,-8.025966409,-34.8788127
106,Praça do Bom Pastor,Praça,Iputinga,Rua Bom Pastor/ Avenida Mucio Uchoa Cavalcanti,-8.048658972,-34.94001791
107,Praça Simão Borba,Praça,Areias,Rua Simao Borba/ Rua Parente Viana/Rua Ernesto Nazareth,-8.096811109,-34.92477434
108,Praça Jules Rimet,Praça,Boa Viagem,Avenida Boa Viagem,-8.101686472,-34.8854526
109,Praça La Coruna,Praça,Boa Viagem,Avenida Boa Viagem,-8.104925343,-34.88705959
110,Parque Infantil Walt Disney,Praça,Boa Viagem,Rua Zeferino Galvao,-8.107954945,-34.88907809
111,Praça Cidade do Porto,Praça,Boa Viagem,Avenida Conselheiro Aguiar / Rua Senador Helio Coutinho,-8.105831462,-34.88912514
112,Praça Cidade do Porto,Praça,Boa Viagem,Avenida Conselheiro Aguiar / Rua Jornalista Francisco Almeida,-8.10641352,-34.88937024
113,Praça Cidade do Porto,Praça,Boa Viagem,Avenida Cons Aguiar / Rua Sen Helio Coutinho / Avenida Eng Domingos Ferreira / Rua Jorn Francisco Almeida,-8.106038844,-34.88944621
114,Praça Visconde de Mauá,Praça,Santo Antonio,Rua Barao Da Vitória,-8.066949294,-34.88301092
115,Praça Visconde de Mauá,Praça,Rosarinho,Rua Regueira Costa/ Rua Gal Abreu E Lima,-8.032290771,-34.89841292
116,Praça Arsenal da Marinha,Praça,Recife,Rua Da Guia / Rua Do Observatório,-8.061041053,-34.87128455
117,Parque Treze de Maio,Parque,Santo Amaro,Rua Da Saudade/ Rua Joao Lima/Rua Do Hospicio,-8.056972105,-34.8815344
118,Praça da Convenção,Praça,Beberibe,Avenida Beberibe,-8.002903481,-34.89772051
119,Praça da Convenção,Praça,Beberibe,Rua Praca Da Convencao,-8.002374716,-34.89726771
120,Praça do Berardo,Praça,Madalena,Rua Joao Crescencio/Ricardo Salazar/Adolfo Criacao Antonio De S,-8.05663446,-34.91250896
