ID,Nome,latitude,longitude
1,Praça Dr José Vilela,-8.034090657,-34.91157119
2,Praça Dr Lula Cabral de Melo,-8.033198405,-34.91029444
3,Praça Jornalista Francisco Pessoa de Queiroz,-8.037484858,-34.91386712
4,Praça Rádio Jornal do Comércio,-8.036970992,-34.913944
5,Praça Rádio Jornal do Comércio,-8.03708098,-34.91429516
6,Praça Oswaldo Cruz,-8.055074228,-34.89156634
7,Praça Flor de Santana,-8.038112654,-34.91806848
8,Praça da Vila Teimosinho,-8.085811115,-34.88401847
9,Praça da Restauração,-8.069986929,-34.8802037
10,Praca do Monteiro,-8.027913492,-34.92798922
11,Praça Sérgio Loreto,-8.072488891,-34.8853334
12,Praça das Cinco Pontas,-8.071880743,-34.88214292
13,Praça das Cinco Pontas,-8.071573012,-34.88188765
14,Praça Dezessete,-8.065308057,-34.87691259
15,Praça das Cinco Pontas,-8.071007482,-34.88144625
16,Praça Dom Vital,-8.068186779,-34.87835072
17,Praça Joaquim Nabuco,-8.064545759,-34.88125311
18,Praça Dezessete,-8.065251334,-34.87653876
19,Praça da Comunidade Luso Brasileira,-8.053736449,-34.87103187
20,Praça da Independência,-8.064166299,-34.87815957
21,Praça Chora menino,-8.060289347,-34.89488865
22,Praça Rio Branco,-8.063157342,-34.87109061
23,Travessa Tiradentes,-8.058698428,-34.87207801
24,Praca General Carlos Pinto,-8.040097305,-34.87190978
25,Praça do Rosário,-8.050490532,-34.95836889
26,Praça Maciel Pinheiro,-8.062376317,-34.88573807
27,Praça Parque Amorim,-8.052047649,-34.89498176
28,Praça da Avenida General San Martin,-8.071011847,-34.92879124
29,Praça Profeta Joseph Smith,-8.096888965,-34.88604569
30,Praça Miguel de Cervantes,-8.067558726,-34.89395077
31,Praça Miguel de Cervantes,-8.066101465,-34.89327839
32,Praça Miguel de Cervantes,-8.066768098,-34.89357782
33,Praça Dom José Pereira Alves,-8.049211071,-34.92536237
34,Praça Dom Diogo Camarao,-8.060342319,-34.92881848
35,Praça Pantanal,-8.094827242,-34.93383621
36,Praça da Bandeira,-8.061391901,-34.90159021
37,Praça Salgueiro,-8.042580862,-34.93823736
38,Praça da Esperança,-8.054287351,-34.91619183
39,Praça do Internacional,-8.058381,-34.9035688
40,Praça Camilo Pereira Carneiro,-8.068604891,-34.94432198
41,Praça da Conceição,-8.019349645,-34.91530281
42,Praça da  Boa Viagem,-8.132007092,-34.90073518
43,Praça Fernando Galvão,-8.095441959,-34.93894494
44,Praça do Jardim São Paulo,-8.081623961,-34.93836152
45,Praça Beira Rio,-8.046253452,-34.90402245
46,Praça Beira Rio,-8.049835422,-34.90450432
47,Praca do Monteiro,-8.02785261,-34.92845605
48,Praça Professor Barreto Campello,-8.047997177,-34.91484274
49,Praça deputado Fabio Correa,-8.022359393,-34.90632204
50,Praça Professor Barreto Campello,-8.04702363,-34.91399529
51,Praça João Pessoa de Queiroz,-8.067352423,-34.9329581
52,Praça do Paraíso,-8.08105852,-34.90718956
53,Praça Vila do Moinho Recife,-8.03731776,-34.88891284
54,Praça São Braz,-8.094377412,-34.93161111
55,Praça Alfredo Pinto,-8.094351239,-34.93686828
56,Praça do Sena,-8.095864063,-34.9336817
57,Praça Jornalista Anibal Fernandes,-8.093486844,-34.93011487
58,Praça Professor Abdgar Soriano,-8.09243358,-34.93017666
59,Praça Capiba,-8.043766763,-34.89813483
60,Praça Maria da Conceição,-8.089525934,-34.94038585
61,Praça de Campo Grande,-8.032299001,-34.87744157
62,Praça Augusto Rodrigues,-8.039388541,-34.88519858
63,Praça da República,-8.060768613,-34.87844425
64,Praça da República,-8.061000454,-34.8768515
65,Praça da República,-8.06089663,-34.87757372
66,Praça Gregório Bezerra,-8.044551422,-34.91490004
67,Praça do Campo Santo,-8.05036453,-34.88283192
68,Praça Abelardo Rijo,-8.078168684,-34.89174203
69,Praça Governador Paulo Guerra,-8.080074629,-34.89232223
